line_number,character,original,vietnamese
8,iroha,"Now then, senpai. Let's go shopping!",
10,hachiman,Eh? Right now?,
13,iroha,"We have to pick a budget and a place. Also, we need to contact Kaihin High School. Then after that, we can go shopping~",
15,iroha,"Yukiknoshita and Yuigahama-senpai are busy thinking up recipes, so you should be free.",
17,hachiman,"Well, I don't have anything to do, but... That doesn't mean you can just make me an errand boy.",
24,yukino,It can be a novel way to kill time. Why not give it a go?,
29,iroha,"Come on, senpai. You really do need a boy tag along when shopping~",
31,hachiman,Do I look like someone who can carry 6 bags at a time?,
34,iroha,"Well, compared to Hayama-senpai or Tobe-senpai, no, but...",
36,hachiman,Huh?,
46,iroha,"Still, you have bigger arms than me, you know.",
48,hachiman,............,
50,hachiman,"Fine, I'll go.",
53,iroha,"Then, let's be on our way!",
63,hachiman,"So, where are we going?",
65,iroha,Where do we go~? We have to be particular about where we shop.,
73,iroha,"H~m, I'd say about a 150 to 200 yen per person.",
75,hachiman,Then the 100 yen store it is.,
79,iroha,"Eh-, but that's so plain,,,",
82,iroha,Valentine's Day isn't just about making chocolate and calling it a day. Everything from the utensils to the wrapping has to be cute!,
84,hachiman,"You can actually get some pretty amazing things at 100 yen stores these days, you know?",
87,iroha,"Fine, that's true, but it doesn't feel special! Don't undermine girls' feelings.",
88,hachiman,"(Girl's feelings, huh...)",
169,hachiman,.........,
171,iroha,"What's the matter, senpai? You've gone quiet.",
173,hachiman,It's just that I've heard the term \,
176,iroha,"Ah, that's true. But it'll be white day soon, so we'll get to see it, won't we, se~npai?",
178,hachiman,Don't get your hopes up.,
184,iroha,Where should we go next? How about over there?,
186,hachiman,"Yeah, that's way too fancy... If it can't be a 100 yen store or a wholesale supermarket... I guess we can go for a discount store.",
188,iroha,"We'd have to go to the next station over. That'd be such a pain. It'd be a waste of time, too...",
189,hachiman,(Where did that \,
195,iroha,It's so cold too! My fingers are freezing over~,
198,iroha,"...Ah! {size=35}No, {size=40}I did not imply what you're thinking, and neither did I openly invite you to hold my hand or anything,{/size} so please don't try to do so, because that was not my intention at all, {size=50}sorry.{/size}",
200,hachiman,...What are you getting riled up of your own implication for?,
205,hachiman,.........,
208,iroha,"Senpai, you sure stay silent a lot.",
210,hachiman,"Mhm, I guess you're right.",
